sample_id,run_id,cycle_id,tooth_type,cutting_edge,force_file,vib_file,image_file,image_rel,wear_value,wear_level,vb_half_ap,wear_area,has_force,has_vib,has_image,is_complete_multimodal,image_dir_count,remark
cycle_01_side_1,cycle_01,1,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\01\side-1.png,01/side-1.png,0.0454,0,0.0188,0.011799999999999998,True,True,True,True,8,
cycle_01_side_2,cycle_01,1,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\01\side-2.png,01/side-2.png,0.0239,0,0.0186,0.0201,True,True,True,True,8,
cycle_01_side_3,cycle_01,1,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\01\side-3.png,01/side-3.png,0.0481,0,0.0418,0.005400000000000002,True,True,True,True,8,
cycle_01_side_4,cycle_01,1,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-1.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-01.csv,D:\my\Future\QIT-CEMC Dataset\Image\01\side-4.png,01/side-4.png,0.0418,0,0.0379,0.013199999999999996,True,True,True,True,8,
cycle_02_side_1,cycle_02,2,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-2.txt,,D:\my\Future\QIT-CEMC Dataset\Image\02\side-1.png,02/side-1.png,0.0955,0,0.0909,0.017300000000000003,True,False,True,False,8,
cycle_02_side_2,cycle_02,2,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-2.txt,,D:\my\Future\QIT-CEMC Dataset\Image\02\side-2.png,02/side-2.png,0.0907,0,0.0897,0.024,True,False,True,False,8,
cycle_02_side_3,cycle_02,2,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-2.txt,,D:\my\Future\QIT-CEMC Dataset\Image\02\side-3.png,02/side-3.png,0.0896,0,0.0659,0.0308,True,False,True,False,8,
cycle_02_side_4,cycle_02,2,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-2.txt,,D:\my\Future\QIT-CEMC Dataset\Image\02\side-4.png,02/side-4.png,0.0897,0,0.0716,0.039,True,False,True,False,8,
cycle_03_side_1,cycle_03,3,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\03\side-1.png,03/side-1.png,0.1041,1,0.1076,0.0376,True,True,True,True,8,
cycle_03_side_2,cycle_03,3,side,2,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\03\side-2.png,03/side-2.png,0.0997,0,0.0957,0.0264,True,True,True,True,8,
cycle_03_side_3,cycle_03,3,side,3,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\03\side-3.png,03/side-3.png,0.0985,0,0.0955,0.03880000000000001,True,True,True,True,8,
cycle_03_side_4,cycle_03,3,side,4,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-3.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-03.csv,D:\my\Future\QIT-CEMC Dataset\Image\03\side-4.png,03/side-4.png,0.0957,0,0.0957,0.0658,True,True,True,True,8,
cycle_04_side_1,cycle_04,4,side,1,D:\my\Future\QIT-CEMC Dataset\Force and torque data\01-26-4.txt,D:\my\Future\QIT-CEMC Dataset\Vibration and sound data\01-26-04.csv,D:\my\Future\QIT-CEMC Dataset\Image\04\side-1.png,04/side-1.png,0.1105,1,0.1015,0.039299999999999995,True,True,True,True,8,
