cycle_id,tooth_type,cutting_edge,metric_name,metric_value
1,end,1,vbmax,0.0719
1,end,1,wear_area,0.0122
1,end,2,vbmax,0.0695
1,end,2,wear_area,0.0095
1,end,3,vbmax,0.0656
1,end,3,wear_area,0.0059
1,end,4,vbmax,0.0656
1,end,4,wear_area,0.0119
2,end,1,vbmax,0.0838
2,end,1,wear_area,0.0143
2,end,2,vbmax,0.0854
2,end,2,wear_area,0.0172
2,end,3,vbmax,0.0895
2,end,3,wear_area,0.0188
2,end,4,vbmax,0.0844
2,end,4,wear_area,0.0174
3,end,1,vbmax,0.0957
3,end,1,wear_area,0.015
3,end,2,vbmax,0.0971
3,end,2,wear_area,0.0199
3,end,3,vbmax,0.0955
3,end,3,wear_area,0.0208
3,end,4,vbmax,0.0962
3,end,4,wear_area,0.0189
4,end,1,vbmax,0.0995
4,end,1,wear_area,0.0181
4,end,2,vbmax,0.1015
4,end,2,wear_area,0.0219
4,end,3,vbmax,0.0962
4,end,3,wear_area,0.0234
4,end,4,vbmax,0.1015
4,end,4,wear_area,0.0205
5,end,1,vbmax,0.0957
5,end,1,wear_area,0.0197
5,end,2,vbmax,0.1076
5,end,2,wear_area,0.0225
5,end,3,vbmax,0.1016
5,end,3,wear_area,0.0256
5,end,4,vbmax,0.1074
5,end,4,wear_area,0.0242
6,end,1,vbmax,0.1015
6,end,1,wear_area,0.0257
6,end,2,vbmax,0.1086
6,end,2,wear_area,0.0271
6,end,3,vbmax,0.1022
6,end,3,wear_area,0.0264
6,end,4,vbmax,0.1076
6,end,4,wear_area,0.025
7,end,1,vbmax,0.103
7,end,1,wear_area,0.0265
7,end,2,vbmax,0.1089
7,end,2,wear_area,0.0275
7,end,3,vbmax,0.1076
7,end,3,wear_area,0.0298
7,end,4,vbmax,0.1081
7,end,4,wear_area,0.0285
8,end,1,vbmax,0.1074
8,end,1,wear_area,0.0277
8,end,2,vbmax,0.1134
8,end,2,wear_area,0.0287
8,end,3,vbmax,0.1081
8,end,3,wear_area,0.0301
8,end,4,vbmax,0.1194
8,end,4,wear_area,0.0291
9,end,1,vbmax,0.1134
9,end,1,wear_area,0.0316
9,end,2,vbmax,0.1195
9,end,2,wear_area,0.0357
9,end,3,vbmax,0.1134
9,end,3,wear_area,0.0331
9,end,4,vbmax,0.1255
9,end,4,wear_area,0.0324
10,end,1,vbmax,0.1194
10,end,1,wear_area,0.0335
10,end,2,vbmax,0.1255
10,end,2,wear_area,0.0368
10,end,3,vbmax,0.1194
10,end,3,wear_area,0.0339
10,end,4,vbmax,0.1313
10,end,4,wear_area,0.0328
11,end,1,vbmax,0.1194
11,end,1,wear_area,0.0341
11,end,2,vbmax,0.1255
11,end,2,wear_area,0.0418
11,end,3,vbmax,0.1194
11,end,3,wear_area,0.0373
11,end,4,vbmax,0.1313
11,end,4,wear_area,0.0376
12,end,1,vbmax,0.12
12,end,1,wear_area,0.0368
12,end,2,vbmax,0.1255
12,end,2,wear_area,0.0447
12,end,3,vbmax,0.1194
12,end,3,wear_area,0.0415
12,end,4,vbmax,0.1434
12,end,4,wear_area,0.0561
13,end,1,vbmax,0.1194
13,end,1,wear_area,0.0421
13,end,2,vbmax,0.1259
13,end,2,wear_area,0.046
13,end,3,vbmax,0.1195
13,end,3,wear_area,0.0443
13,end,4,vbmax,0.1433
13,end,4,wear_area,0.0605
14,end,1,vbmax,0.1194
14,end,1,wear_area,0.0549
14,end,2,vbmax,0.1259
14,end,2,wear_area,0.0592
14,end,3,vbmax,0.1195
14,end,3,wear_area,0.5554
14,end,4,vbmax,0.1434
14,end,4,wear_area,0.0739
15,end,1,vbmax,0.1194
15,end,1,wear_area,0.0687
15,end,2,vbmax,0.1313
15,end,2,wear_area,0.0682
15,end,3,vbmax,0.1195
15,end,3,wear_area,0.0757
15,end,4,vbmax,0.1434
15,end,4,wear_area,0.0786
16,end,1,vbmax,0.1195
16,end,1,wear_area,0.0687
16,end,2,vbmax,0.1378
16,end,2,wear_area,0.0702
16,end,3,vbmax,0.1259
16,end,3,wear_area,0.081
16,end,4,vbmax,0.1553
16,end,4,wear_area,0.0814
17,end,1,vbmax,0.1195
17,end,1,wear_area,0.0715
17,end,2,vbmax,0.1432
17,end,2,wear_area,0.0836
17,end,3,vbmax,0.1314
17,end,3,wear_area,0.0891
17,end,4,vbmax,0.1556
17,end,4,wear_area,0.0911
18,end,1,vbmax,0.1255
18,end,1,wear_area,0.0784
18,end,2,vbmax,0.1497
18,end,2,wear_area,0.0887
18,end,3,vbmax,0.1373
18,end,3,wear_area,0.0924
18,end,4,vbmax,0.1611
18,end,4,wear_area,0.0999
19,end,1,vbmax,0.1259
19,end,1,wear_area,0.0818
19,end,2,vbmax,0.1552
19,end,2,wear_area,0.0897
19,end,3,vbmax,0.1492
19,end,3,wear_area,0.1012
19,end,4,vbmax,0.1671
19,end,4,wear_area,0.1047
20,end,1,vbmax,0.1259
20,end,1,wear_area,0.0884
20,end,2,vbmax,0.1553
