cycle_id,cutting_edge,vbmax,wear_area,image_file,wear_value,wear_level
1,1,0.0719,0.0122,01/end-1.png,0.0719,0
1,2,0.0695,0.0095,01/end-2.png,0.0695,0
1,3,0.0656,0.0059,01/end-3.png,0.0656,0
1,4,0.0656,0.0119,01/end-4.png,0.0656,0
2,1,0.0838,0.0143,02/end-1.png,0.0838,0
2,2,0.0854,0.0172,02/end-2.png,0.0854,0
2,3,0.0895,0.0188,02/end-3.png,0.0895,0
2,4,0.0844,0.0174,02/end-4.png,0.0844,0
3,1,0.0957,0.015,03/end-1.png,0.0957,0
3,2,0.0971,0.0199,03/end-2.png,0.0971,0
3,3,0.0955,0.0208,03/end-3.png,0.0955,0
3,4,0.0962,0.0189,03/end-4.png,0.0962,0
4,1,0.0995,0.0181,04/end-1.png,0.0995,0
4,2,0.1015,0.0219,04/end-2.png,0.1015,1
4,3,0.0962,0.0234,04/end-3.png,0.0962,0
4,4,0.1015,0.0205,04/end-4.png,0.1015,1
5,1,0.0957,0.0197,05/end-1.png,0.0957,0
5,2,0.1076,0.0225,05/end-2.png,0.1076,1
5,3,0.1016,0.0256,05/end-3.png,0.1016,1
5,4,0.1074,0.0242,05/end-4.png,0.1074,1
6,1,0.1015,0.0257,06/end-1.png,0.1015,1
6,2,0.1086,0.0271,06/end-2.png,0.1086,1
6,3,0.1022,0.0264,06/end-3.png,0.1022,1
6,4,0.1076,0.025,06/end-4.png,0.1076,1
7,1,0.103,0.0265,07/end-1.png,0.103,1
7,2,0.1089,0.0275,07/end-2.png,0.1089,1
7,3,0.1076,0.0298,07/end-3.png,0.1076,1
7,4,0.1081,0.0285,07/end-4.png,0.1081,1
8,1,0.1074,0.0277,08/end-1.png,0.1074,1
8,2,0.1134,0.0287,08/end-2.png,0.1134,1
8,3,0.1081,0.0301,08/end-3.png,0.1081,1
8,4,0.1194,0.0291,08/end-4.png,0.1194,1
9,1,0.1134,0.0316,09/end-1.png,0.1134,1
9,2,0.1195,0.0357,09/end-2.png,0.1195,1
9,3,0.1134,0.0331,09/end-3.png,0.1134,1
9,4,0.1255,0.0324,09/end-4.png,0.1255,1
10,1,0.1194,0.0335,10/end-1.png,0.1194,1
10,2,0.1255,0.0368,10/end-2.png,0.1255,1
10,3,0.1194,0.0339,10/end-3.png,0.1194,1
10,4,0.1313,0.0328,10/end-4.png,0.1313,1
11,1,0.1194,0.0341,11/end-1.png,0.1194,1
11,2,0.1255,0.0418,11/end-2.png,0.1255,1
11,3,0.1194,0.0373,11/end-3.png,0.1194,1
11,4,0.1313,0.0376,11/end-4.png,0.1313,1
12,1,0.12,0.0368,12/end-1.png,0.12,1
12,2,0.1255,0.0447,12/end-2.png,0.1255,1
12,3,0.1194,0.0415,12/end-3.png,0.1194,1
12,4,0.1434,0.0561,12/end-4.png,0.1434,1
13,1,0.1194,0.0421,13/end-1.png,0.1194,1
13,2,0.1259,0.046,13/end-2.png,0.1259,1
13,3,0.1195,0.0443,13/end-3.png,0.1195,1
13,4,0.1433,0.0605,13/end-4.png,0.1433,1
14,1,0.1194,0.0549,14/end-1.png,0.1194,1
14,2,0.1259,0.0592,14/end-2.png,0.1259,1
14,3,0.1195,0.5554,14/end-3.png,0.1195,1
14,4,0.1434,0.0739,14/end-4.png,0.1434,1
15,1,0.1194,0.0687,15/end-1.png,0.1194,1
15,2,0.1313,0.0682,15/end-2.png,0.1313,1
15,3,0.1195,0.0757,15/end-3.png,0.1195,1
15,4,0.1434,0.0786,15/end-4.png,0.1434,1
16,1,0.1195,0.0687,16/end-1.png,0.1195,1
16,2,0.1378,0.0702,16/end-2.png,0.1378,1
16,3,0.1259,0.081,16/end-3.png,0.1259,1
16,4,0.1553,0.0814,16/end-4.png,0.1553,1
17,1,0.1195,0.0715,17/end-1.png,0.1195,1
17,2,0.1432,0.0836,17/end-2.png,0.1432,1
17,3,0.1314,0.0891,17/end-3.png,0.1314,1
17,4,0.1556,0.0911,17/end-4.png,0.1556,1
18,1,0.1255,0.0784,18/end-1.png,0.1255,1
