cycle_id,tooth_type,cutting_edge,metric_name,metric_value
1,side,1,vbmax,0.0454
1,side,1,vb_half_ap,0.0188
1,side,1,wear_area,0.011799999999999998
1,side,2,vbmax,0.0239
1,side,2,vb_half_ap,0.0186
1,side,2,wear_area,0.0201
1,side,3,vbmax,0.0481
1,side,3,vb_half_ap,0.0418
1,side,3,wear_area,0.005400000000000002
1,side,4,vbmax,0.0418
1,side,4,vb_half_ap,0.0379
1,side,4,wear_area,0.013199999999999996
2,side,1,vbmax,0.0955
2,side,1,vb_half_ap,0.0909
2,side,1,wear_area,0.017300000000000003
2,side,2,vbmax,0.0907
2,side,2,vb_half_ap,0.0897
2,side,2,wear_area,0.024
2,side,3,vbmax,0.0896
2,side,3,vb_half_ap,0.0659
2,side,3,wear_area,0.0308
2,side,4,vbmax,0.0897
2,side,4,vb_half_ap,0.0716
2,side,4,wear_area,0.039
3,side,1,vbmax,0.1041
3,side,1,vb_half_ap,0.1076
3,side,1,wear_area,0.0376
3,side,2,vbmax,0.0997
3,side,2,vb_half_ap,0.0957
3,side,2,wear_area,0.0264
3,side,3,vbmax,0.0985
3,side,3,vb_half_ap,0.0955
3,side,3,wear_area,0.03880000000000001
3,side,4,vbmax,0.0957
3,side,4,vb_half_ap,0.0957
3,side,4,wear_area,0.0658
4,side,1,vbmax,0.1105
4,side,1,vb_half_ap,0.1015
4,side,1,wear_area,0.039299999999999995
4,side,2,vbmax,0.1032
4,side,2,vb_half_ap,0.0971
4,side,2,wear_area,0.0351
4,side,3,vbmax,0.1194
4,side,3,vb_half_ap,0.1045
4,side,3,wear_area,0.04710000000000001
4,side,4,vbmax,0.1074
4,side,4,vb_half_ap,0.1015
4,side,4,wear_area,0.0691
5,side,1,vbmax,0.1174
5,side,1,vb_half_ap,0.1076
5,side,1,wear_area,0.0425
5,side,2,vbmax,0.1044
5,side,2,vb_half_ap,0.1015
5,side,2,wear_area,0.0481
5,side,3,vbmax,0.1234
5,side,3,vb_half_ap,0.1076
5,side,3,wear_area,0.0574
5,side,4,vbmax,0.1094
5,side,4,vb_half_ap,0.1081
5,side,4,wear_area,0.0695
6,side,1,vbmax,0.1195
6,side,1,vb_half_ap,0.1089
6,side,1,wear_area,0.04889999999999999
6,side,2,vbmax,0.1096
6,side,2,vb_half_ap,0.1081
6,side,2,wear_area,0.0551
6,side,3,vbmax,0.1325
6,side,3,vb_half_ap,0.1136
6,side,3,wear_area,0.06470000000000001
6,side,4,vbmax,0.114
6,side,4,vb_half_ap,0.1135
6,side,4,wear_area,0.07419999999999999
7,side,1,vbmax,0.1198
7,side,1,vb_half_ap,0.1134
7,side,1,wear_area,0.060599999999999994
7,side,2,vbmax,0.1138
7,side,2,vb_half_ap,0.1136
7,side,2,wear_area,0.0585
7,side,3,vbmax,0.1373
7,side,3,vb_half_ap,0.1195
7,side,3,wear_area,0.0706
7,side,4,vbmax,0.1293
7,side,4,vb_half_ap,0.1194
7,side,4,wear_area,0.0766
8,side,1,vbmax,0.1253
8,side,1,vb_half_ap,0.1194
8,side,1,wear_area,0.06259999999999999
8,side,2,vbmax,0.1203
8,side,2,vb_half_ap,0.1194
8,side,2,wear_area,0.06539999999999999
8,side,3,vbmax,0.1432
8,side,3,vb_half_ap,0.1253
8,side,3,wear_area,0.07919999999999999
8,side,4,vbmax,0.1373
8,side,4,vb_half_ap,0.1253
8,side,4,wear_area,0.08079999999999998
9,side,1,vbmax,0.1259
9,side,1,vb_half_ap,0.1255
9,side,1,wear_area,0.0675
9,side,2,vbmax,0.1268
9,side,2,vb_half_ap,0.1253
9,side,2,wear_area,0.0789
9,side,3,vbmax,0.1492
9,side,3,vb_half_ap,0.1255
9,side,3,wear_area,0.0867
9,side,4,vbmax,0.1379
9,side,4,vb_half_ap,0.1314
9,side,4,wear_area,0.08179999999999998
10,side,1,vbmax,0.1374
10,side,1,vb_half_ap,0.1314
10,side,1,wear_area,0.07549999999999998
10,side,2,vbmax,0.1374
10,side,2,vb_half_ap,0.1314
10,side,2,wear_area,0.0829
10,side,3,vbmax,0.1553
10,side,3,vb_half_ap,0.1314
10,side,3,wear_area,0.08830000000000002
10,side,4,vbmax,0.1433
