cycle_id,cutting_edge,vb_half_ap,vbmax,wear_area,image_file,wear_value,wear_level
1,1,0.0188,0.0454,0.011799999999999998,01/side-1.png,0.0454,0
1,2,0.0186,0.0239,0.0201,01/side-2.png,0.0239,0
1,3,0.0418,0.0481,0.005400000000000002,01/side-3.png,0.0481,0
1,4,0.0379,0.0418,0.013199999999999996,01/side-4.png,0.0418,0
2,1,0.0909,0.0955,0.017300000000000003,02/side-1.png,0.0955,0
2,2,0.0897,0.0907,0.024,02/side-2.png,0.0907,0
2,3,0.0659,0.0896,0.0308,02/side-3.png,0.0896,0
2,4,0.0716,0.0897,0.039,02/side-4.png,0.0897,0
3,1,0.1076,0.1041,0.0376,03/side-1.png,0.1041,1
3,2,0.0957,0.0997,0.0264,03/side-2.png,0.0997,0
3,3,0.0955,0.0985,0.03880000000000001,03/side-3.png,0.0985,0
3,4,0.0957,0.0957,0.0658,03/side-4.png,0.0957,0
4,1,0.1015,0.1105,0.039299999999999995,04/side-1.png,0.1105,1
4,2,0.0971,0.1032,0.0351,04/side-2.png,0.1032,1
4,3,0.1045,0.1194,0.04710000000000001,04/side-3.png,0.1194,1
4,4,0.1015,0.1074,0.0691,04/side-4.png,0.1074,1
5,1,0.1076,0.1174,0.0425,05/side-1.png,0.1174,1
5,2,0.1015,0.1044,0.0481,05/side-2.png,0.1044,1
5,3,0.1076,0.1234,0.0574,05/side-3.png,0.1234,1
5,4,0.1081,0.1094,0.0695,05/side-4.png,0.1094,1
6,1,0.1089,0.1195,0.04889999999999999,06/side-1.png,0.1195,1
6,2,0.1081,0.1096,0.0551,06/side-2.png,0.1096,1
6,3,0.1136,0.1325,0.06470000000000001,06/side-3.png,0.1325,1
6,4,0.1135,0.114,0.07419999999999999,06/side-4.png,0.114,1
7,1,0.1134,0.1198,0.060599999999999994,07/side-1.png,0.1198,1
7,2,0.1136,0.1138,0.0585,07/side-2.png,0.1138,1
7,3,0.1195,0.1373,0.0706,07/side-3.png,0.1373,1
7,4,0.1194,0.1293,0.0766,07/side-4.png,0.1293,1
8,1,0.1194,0.1253,0.06259999999999999,08/side-1.png,0.1253,1
8,2,0.1194,0.1203,0.06539999999999999,08/side-2.png,0.1203,1
8,3,0.1253,0.1432,0.07919999999999999,08/side-3.png,0.1432,1
8,4,0.1253,0.1373,0.08079999999999998,08/side-4.png,0.1373,1
9,1,0.1255,0.1259,0.0675,09/side-1.png,0.1259,1
9,2,0.1253,0.1268,0.0789,09/side-2.png,0.1268,1
9,3,0.1255,0.1492,0.0867,09/side-3.png,0.1492,1
9,4,0.1314,0.1379,0.08179999999999998,09/side-4.png,0.1379,1
10,1,0.1314,0.1374,0.07549999999999998,10/side-1.png,0.1374,1
10,2,0.1314,0.1374,0.0829,10/side-2.png,0.1374,1
10,3,0.1314,0.1553,0.08830000000000002,10/side-3.png,0.1553,1
10,4,0.1373,0.1433,0.08399999999999999,10/side-4.png,0.1433,1
11,1,0.1373,0.1374,0.07619999999999999,11/side-1.png,0.1374,1
11,2,0.1374,0.155,0.09769999999999998,11/side-2.png,0.155,1
11,3,0.1791,0.185,0.08880000000000002,11/side-3.png,0.185,1
11,4,0.1378,0.2128,0.1025,11/side-4.png,0.2128,2
12,1,0.1432,0.1432,0.07730000000000001,12/side-1.png,0.1432,1
12,2,0.179,0.1791,0.10669999999999999,12/side-2.png,0.1791,1
12,3,0.1851,0.2031,0.10060000000000002,12/side-3.png,0.2031,2
12,4,0.1432,0.2149,0.10569999999999999,12/side-4.png,0.2149,2
13,1,0.1493,0.1731,0.0887,13/side-1.png,0.1731,1
13,2,0.1791,0.185,0.11809999999999998,13/side-2.png,0.185,1
13,3,0.191,0.209,0.10970000000000002,13/side-3.png,0.209,2
13,4,0.1492,0.2209,0.1182,13/side-4.png,0.2209,2
14,1,0.1503,0.179,0.092,14/side-1.png,0.179,1
14,2,0.1854,0.1901,0.1235,14/side-2.png,0.1901,1
14,3,0.1973,0.2089,0.11450000000000002,14/side-3.png,0.2089,2
14,4,0.1493,0.2263,0.1268,14/side-4.png,0.2263,2
15,1,0.1672,0.1851,0.1036,15/side-1.png,0.1851,1
15,2,0.2096,0.2209,0.1289,15/side-2.png,0.2209,2
15,3,0.209,0.2279,0.12060000000000001,15/side-3.png,0.2279,2
15,4,0.1556,0.2304,0.1284,15/side-4.png,0.2304,2
16,1,0.1732,0.191,0.1051,16/side-1.png,0.191,1
16,2,0.2149,0.2269,0.13219999999999998,16/side-2.png,0.2269,2
16,3,0.2152,0.2331,0.1308,16/side-3.png,0.2331,2
16,4,0.1616,0.2383,0.1371,16/side-4.png,0.2383,2
17,1,0.1791,0.1911,0.1225,17/side-1.png,0.1911,1
17,2,0.2209,0.228,0.1492,17/side-2.png,0.228,2
17,3,0.2269,0.2346,0.1391,17/side-3.png,0.2346,2
17,4,0.1735,0.239,0.15009999999999998,17/side-4.png,0.239,2
18,1,0.185,0.197,0.1359,18/side-1.png,0.197,1
18,2,0.2211,0.2328,0.1605,18/side-2.png,0.2328,2
18,3,0.2328,0.2387,0.1453,18/side-3.png,0.2387,2
18,4,0.1845,0.245,0.1604,18/side-4.png,0.245,2
19,1,0.191,0.2029,0.1431,19/side-1.png,0.2029,2
19,2,0.2269,0.2328,0.1775,19/side-2.png,0.2328,2
19,3,0.2447,0.248,0.1516,19/side-3.png,0.248,2
